"year","sex","agegrp","pop"
2020,"Male",6,181197
2020,"Male",7,177215
2020,"Male",8,174547
2020,"Male",9,158637
2020,"Male",10,171954
2020,"Male",11,157975
2020,"Male",12,156379
2020,"Male",13,141074
2020,"Male",14,124947
2020,"Male",15,112067
2020,"Male",16,75830
2020,"Male",17,46562
2020,"Male",18,36003
2020,"Female",1,149449
2020,"Female",2,164156
2020,"Female",3,167629
2020,"Female",4,153830
2020,"Female",5,167911
2020,"Female",6,183037
2020,"Female",7,182717
2020,"Female",8,181057
2020,"Female",9,166906
2020,"Female",10,177216
2020,"Female",11,164097
2020,"Female",12,163639
2020,"Female",13,148597
2020,"Female",14,131185
2020,"Female",15,115655
2020,"Female",16,79872
2020,"Female",17,53460
2020,"Female",18,56662
2021,"Male",1,155549
2021,"Male",2,172978
2021,"Male",3,180836
2021,"Male",4,163340
2021,"Male",5,168920
2021,"Male",6,178193
2021,"Male",7,178976
2021,"Male",8,178566
2021,"Male",9,161969
2021,"Male",10,169461
2021,"Male",11,164593
2021,"Male",12,156075
2021,"Male",13,145470
2021,"Male",14,127241
2021,"Male",15,115687
2021,"Male",16,80717
2021,"Male",17,49187
2021,"Male",18,37785
2021,"Female",1,146133
2021,"Female",2,163433
2021,"Female",3,170108
2021,"Female",4,154990
2021,"Female",5,163349
2021,"Female",6,179078
2021,"Female",7,183945
2021,"Female",8,184594
2021,"Female",9,170605
2021,"Female",10,174377
2021,"Female",11,169808
2021,"Female",12,162654
2021,"Female",13,153298
2021,"Female",14,134165
2021,"Female",15,120855
2021,"Female",16,84971
2021,"Female",17,55854
2021,"Female",18,58054
2022,"Male",1,157848
2022,"Male",2,173219
2022,"Male",3,182429
2022,"Male",4,170026
2022,"Male",5,171090
2022,"Male",6,180286
2022,"Male",7,182410
2022,"Male",8,181905
2022,"Male",9,167997
2022,"Male",10,167321
2022,"Male",11,170241
2022,"Male",12,156266
2022,"Male",13,149675
2022,"Male",14,129819
2022,"Male",15,115974
2022,"Male",16,87878
2022,"Male",17,51921
2022,"Male",18,39484
2022,"Female",1,148685
2022,"Female",2,163297
2022,"Female",3,172858
2022,"Female",4,160732
2022,"Female",5,165410
2022,"Female",6,179776
2022,"Female",7,188387
2022,"Female",8,188856
2022,"Female",9,176278
2022,"Female",10,172906
2022,"Female",11,176124
2022,"Female",12,162495
2022,"Female",13,158102
2022,"Female",14,137609
2022,"Female",15,121995
2022,"Female",16,92952
2022,"Female",17,58865
2022,"Female",18,59825
2001,"Persons",1,243794
2001,"Persons",2,259298
2001,"Persons",3,257491
2001,"Persons",4,257822
2001,"Persons",5,242948
2001,"Persons",6,258018
2001,"Persons",7,264717
2001,"Persons",8,270344
2001,"Persons",9,270450
2001,"Persons",10,249725
2001,"Persons",11,242023
2001,"Persons",12,189331
2001,"Persons",13,149703
2001,"Persons",14,119196
2001,"Persons",15,108786
2001,"Persons",16,87520
2001,"Persons",17,56444
2001,"Persons",18,43859
2002,"Persons",1,246234
2002,"Persons",2,261251
2002,"Persons",3,263913
2002,"Persons",4,261048
2002,"Persons",5,250133
2002,"Persons",6,254204
2002,"Persons",7,273978
2002,"Persons",8,270686
2002,"Persons",9,279650
2002,"Persons",10,255373
2002,"Persons",11,244060
